Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
HMGN2,102.6344902,-0.045407016,0.077409847,0.333233166,0.721919032
MMP7,112.0091252,0.028105589,0.093774024,0.169423849,0.562000437
EIF4HP2,5.571307556,-0.037606458,0.09269803,0.265361479,0.664288827
POMZP3,8.796994958,-0.042680494,0.087487569,0.31070034,0.707174984
ARRDC2,24.05425267,-0.04003414,0.090831687,0.287677457,0.687038763
MDM2,48.82896884,-0.032810145,0.093786549,0.218793824,0.619901178
SNORA80D,59.4822776,0.033132359,0.093943116,0.222089218,0.622793393
RPL36AP15,7.227410773,-0.040383662,0.090681079,0.290995958,0.689784022
RPL23AP58,3.631370346,-0.036819627,0.093094706,0.2582944,NA
RPS12P3,21.94758067,-0.042257882,0.087955035,0.30745434,0.703787066
SPHK1,6.918576689,0.033868012,0.093763312,0.229724804,0.630069148
SNAPC2,10.54960472,-0.043590259,0.085803974,0.318939807,0.712621051
SPDYE5,2.426012343,-0.033701808,0.093878418,0.228596234,NA
DMWD,8.245408564,0.042203828,0.087963488,0.30781621,0.704102607
ZNF547,2.529394038,-0.034045401,0.093827916,0.232119007,NA
RWDD2A,6.777991096,0.041372628,0.089267535,0.300653167,0.69801895
XRRA1,13.5451771,-0.041557893,0.089221162,0.302289694,0.699779197
MZF1-AS1,3.133741675,-0.035746585,0.093566048,0.248874053,NA
PLCB3,24.49216626,0.044863241,0.081345079,0.330159833,0.719946584
PRPF31,22.16471942,0.045240823,0.079255522,0.333322673,0.721919032
SCYL3,15.5446547,-0.043865782,0.084536634,0.322091101,0.713758063
DNAJA2-DT,2.665768672,-0.032668819,0.093890325,0.218738731,NA
FAM174A,35.5757314,-0.04338278,0.085583179,0.318796107,0.712621051
HCG9P5,2.256312067,-0.029624836,0.093842694,0.18751536,NA
TXN2P1,5.214161304,-0.035070091,0.093461679,0.24331932,0.644244627
RNA5SP159,8.262011852,-0.038119691,0.092201579,0.272499574,0.671943416
LYRM2,10.54301639,0.044100925,0.084191499,0.325051163,0.715923397
ATIC,25.14091424,0.044857121,0.081006336,0.331306087,0.719980727
CAHM,2.662508513,-0.03312434,0.093843088,0.224076102,NA
KLHL8,12.61427639,-0.044384178,0.082897845,0.327656969,0.717242395
TRMT112,126.5937662,-0.045046444,0.078811919,0.333155207,0.721919032
WDR20,14.20575166,-0.044999732,0.080113031,0.332838927,0.721744047
MPHOSPH6,21.38851748,0.044082028,0.083517429,0.325332022,0.715956498
UBL7,26.56842282,0.045465097,0.07645139,0.33664533,0.724406672
PLLP,8.298619749,-0.031004151,0.093797266,0.202620661,0.602015546
ZNF589,11.28904607,-0.044093242,0.083967894,0.325551161,0.715956498
CA9,16.86327099,0.020934249,0.091838893,0.094201421,0.447490139
MAGOH2P,3.348048755,-0.035529816,0.093430698,0.248661263,NA
MARK1,3.475693378,0.030016509,0.093837753,0.192634952,NA
KLF3-AS1,3.107661409,-0.033206829,0.093850086,0.225663168,NA
LIME1,2.003722823,-0.031934263,0.093908525,0.212779415,NA
MKNK1,14.05470671,0.045031025,0.079868062,0.33408662,0.722681186
RPL27P8,2.892422896,-0.035030009,0.093607736,0.244430087,NA
MOCS1,7.657375586,-0.040563178,0.090246814,0.296346058,0.694270643
ITGB3,9.515923491,-0.02513512,0.093241184,0.140484809,0.521342999
KBTBD12,4.429732707,0.027066786,0.093582498,0.161931059,NA
ITPA,36.07167862,0.045016593,0.079615723,0.334662524,0.722681186
SH3BP5,12.98057119,-0.037882116,0.092178713,0.272384538,0.671896782
RNVU1-3,6.470209467,0.037468086,0.092536368,0.268535866,0.667780542
ING5,9.034790192,-0.043110202,0.086367793,0.31899406,0.712621051
MRPL57P8,9.012280056,-0.035405321,0.093224017,0.2488961,0.647833759
DPYD,62.52507235,-0.04091054,0.089057031,0.300173899,0.697661331
TMEM242,6.536329371,0.041175995,0.089165931,0.302694732,0.700279943
ZNF26,5.734576533,-0.039356652,0.090171262,0.286723562,0.686508322
SLF2,26.99716498,-0.045578725,0.071584453,0.340275949,0.72756161
MIR5000,3.831680089,-0.030704334,0.093834412,0.201895668,NA
FAM24B,6.632807614,0.03828305,0.091873724,0.27719347,0.675872967
IGHV3OR16-13,28.65487659,0.026366098,0.093489615,0.155369159,0.544867062
GAPDHP55,5.868853593,-0.030359382,0.093799835,0.198621482,0.599186271
IL18,24.03605431,0.041456192,0.089024063,0.306196447,0.702561017
MIR4715,2.932143331,-0.023689643,0.092980723,0.126193457,NA
YBX1P4,2.593518245,-0.033705401,0.093700619,0.233445681,NA
LRG1,33.43935306,0.035545997,0.093220047,0.251752207,0.651068336
ZRSR2,16.47708867,-0.044073815,0.08334057,0.328988306,0.71858476
DMBT1,147.508167,0.024598454,0.093203184,0.13645673,0.517090771
RPP38,9.389619108,0.043283062,0.085536878,0.322408273,0.713765121
EIF2S3,170.232375,0.044206078,0.08375627,0.330239596,0.719946584
LINC02345,3.119855057,-0.02922339,0.093717063,0.187337644,NA
PEX12,6.683315365,-0.040544343,0.089927702,0.299094134,0.696458211
WARS2,15.0181391,0.044384907,0.081306194,0.332023205,0.72080826
SNRPE,54.63819796,0.042785505,0.086595921,0.318656918,0.712621051
JADE3,13.07338835,-0.042857463,0.086246801,0.319312183,0.712854234
CNGA1,2.146447894,0.030589102,0.093732762,0.202190602,NA
DYNLRB2,2.202938755,0.027867423,0.093615681,0.17326845,NA
RNU6-1043P,7.134536981,-0.037291827,0.092433651,0.269919172,0.668876831
CXorf38,15.78591451,0.044891076,0.079145816,0.33759295,0.725295201
FCGBP,25.737723,-0.02394206,0.093013025,0.130583163,0.507260166
AGBL5-IT1,3.975142023,-0.036437345,0.092860841,0.262494529,NA
RPL41P5,22.85881744,-0.028169149,0.093569918,0.177303923,0.570611469
PLCB2,13.41193416,0.03898134,0.091275402,0.286596851,0.686423925
CENPF,23.68388208,0.034112573,0.09354298,0.239850813,0.640766225
SNAP23,9.811420432,0.042860239,0.084638744,0.321177717,0.713190549
RFT1,11.23588509,-0.043436094,0.084651675,0.32618387,0.716053669
WASH6P,4.434513772,-0.030258851,0.093689611,0.200328851,NA
HSPA8P15,5.13707561,-0.038202873,0.09197493,0.279883473,0.678354745
WDR19,15.9009232,0.045015852,0.079316463,0.339585394,0.727079542
PAN2,22.75898207,-0.042906972,0.085539997,0.322156854,0.713758063
KLHL18,10.67192023,-0.04358759,0.083956387,0.328011281,0.717582212
CROCC,9.119599638,-0.038935035,0.091150114,0.28725431,0.686793118
AKAP6,4.925535101,-0.031992861,0.093677279,0.219157234,0.620435701
TRNM,7.509625597,0.032210306,0.093705693,0.221426439,0.622515612
C2orf15,4.100279286,0.036980507,0.09244647,0.269000412,NA
TMEM254-AS1,1.755609959,-0.030613877,0.09378981,0.204721696,NA
SNORD38C,8.792597388,0.037242331,0.09230528,0.271687992,0.670840066
RPS19,294.2693402,0.042572804,0.084564369,0.31992773,0.71300251
NOL7,43.38997944,0.045114547,0.07384874,0.341621054,0.729407115
RNU6-1161P,6.13368261,0.028744029,0.093662318,0.185426785,0.581295548
PLPP3,31.47177892,0.042610385,0.086153468,0.321088543,0.713190549
SLCO4C1,9.460672569,-0.02737208,0.093469379,0.17059717,0.563433886
FOCAD,29.19699413,0.041263305,0.088865518,0.30946063,0.70576999
RPL7A,790.4094461,0.042846574,0.084800799,0.323179319,0.713917278
AAR2,28.08528552,-0.045028456,0.075923585,0.341416161,0.729364274
MAP3K9-DT,5.909959268,-0.034358156,0.093364046,0.244549322,0.645109627
LINC00472,4.57312321,0.034675941,0.093219298,0.248152727,NA
RNU6-742P,3.317185406,0.033799156,0.093384432,0.239397152,NA
MTX1LP,4.527865705,-0.03591922,0.092895725,0.260610874,NA
ATP5PD,42.72918321,-0.044888696,0.075528631,0.340991881,0.728789424
MAP3K20-AS1,3.01591572,0.031817379,0.093610609,0.219259277,NA
NDN,18.495936,-0.035542462,0.092797143,0.257171552,0.65659891
AGK,11.8223026,-0.044037739,0.082248937,0.334295119,0.722681186
R3HDM1,12.43562222,0.043485091,0.083407095,0.329696006,0.719317733
RNU6-553P,5.313874051,-0.035170908,0.093131642,0.253767393,0.653016977
RAB1B,42.83777653,0.044838416,0.07776963,0.341098645,0.728913819
ERI1,12.23811444,0.042984648,0.084780438,0.325831871,0.715956498
MPHOSPH10,21.14327659,0.044956845,0.072990197,0.342456918,0.729733048
PFDN1P1,10.40435363,0.035491011,0.093012391,0.257473293,0.656810695
SNHG30,9.320074941,-0.04072533,0.089190265,0.306763599,0.703288023
PPIAP72,2.388916427,-0.032172214,0.093666115,0.224080158,NA
LTB,18.31310615,-0.033189514,0.093396851,0.23465199,0.635648144
FGFR1OP2,26.22856797,0.04480685,0.075849578,0.341837074,0.729557014
TPPP3,35.30018538,-0.024595561,0.093072521,0.141691418,0.523839456
PI4K2B,41.29776086,0.044040305,0.0817825,0.335874556,0.723934103
MTSS1,14.61978646,-0.034741928,0.093006051,0.250891878,0.650187689
LIX1L,15.84082433,-0.040358213,0.089174582,0.30420536,0.701282903
HMG20A,15.62299844,0.04448276,0.077846021,0.33970745,0.727079542
FNIP1,32.21118796,-0.044968972,0.074139313,0.344108411,0.73022189
RPN1,240.7763235,0.044399848,0.080112129,0.339584465,0.727079542
DENND6A,18.67730996,0.044424353,0.07850954,0.340004142,0.727168006
ZNF19,2.286828059,-0.032553425,0.093609026,0.229516898,NA
NAA25,20.20074366,-0.043983228,0.081444221,0.336542395,0.724406672
LSM3P4,5.488869711,0.027983159,0.093570813,0.180731557,0.57522915
SAE1,46.02569696,0.044845423,0.075823817,0.343904584,0.73022189
ZNF527,4.572533146,-0.037772156,0.091970288,0.28165211,NA
CHASERR,46.80232022,-0.039584671,0.090081597,0.298481814,0.69605651
SNORA12,655.0571674,0.038836225,0.090562307,0.291612132,0.69037612
MRPL18,61.48426342,0.044575984,0.078887471,0.34178417,0.729557014
ZNHIT3,8.509569845,-0.041926396,0.086610727,0.319389154,0.712867093
FGD2,8.043995198,-0.038056115,0.091463585,0.284526149,0.683918883
SEPTIN7P9,2.599300565,-0.033330537,0.093516271,0.238127546,NA
ATP6V1E1,71.32397191,0.044658391,0.077735283,0.342690477,0.72975672
SLC29A1,37.60629477,-0.043246875,0.08337308,0.330953158,0.719980727
SLC35E1P1,5.182649655,0.038009604,0.091421072,0.284200337,0.683629337
ZNF585A,3.266631803,-0.035246946,0.093120731,0.257550974,NA
NAPEPLD,12.56129493,-0.043252545,0.083881305,0.331306254,0.719980727
ISM1-AS1,4.886687952,-0.033304221,0.093400936,0.23818728,0.638198719
FBXL5,82.07621077,0.045020802,0.070238104,0.346208697,0.731836171
LOC124900501,5.710466768,-0.033217375,0.093387094,0.237537063,0.638051418
VSIG2,40.82603832,0.03776743,0.098711818,0.28248701,0.681145384
HLA-H,34.09603465,0.036632247,0.092497066,0.271676849,0.670840066
RNU7-151P,3.768879984,-0.029106762,0.093618005,0.194025683,NA
RNF38,24.90025144,-0.044744249,0.076163483,0.344163473,0.73022189
TGS1,28.74084036,-0.043625527,0.081410479,0.334930782,0.722681186
SON,118.8001551,-0.044787238,0.069562632,0.344769681,0.730457705
ZFAND3,41.42984962,-0.044947261,0.072138479,0.346150515,0.731836171
SUN2,30.87817021,0.043808258,0.081626937,0.336846035,0.724571364
PIP5K1C,10.80109182,-0.042033879,0.086475362,0.3218188,0.713566525
RAPGEF1,35.73875261,0.043339974,0.083582281,0.333171507,0.721919032
RPS17,6.410968355,0.03906909,0.090579747,0.2955788,0.693549755
SPTLC3,13.54478391,-0.030480032,0.093549828,0.209929704,0.609015241
ZDHHC17,23.9841422,-0.042765124,0.084281041,0.32871739,0.718411187
BRD9,18.20120856,-0.041390957,0.087360957,0.317233464,0.711687532
RRAS,44.32062761,0.042315083,0.085775317,0.325392016,0.715956498
RAD54L2,13.19193085,-0.043971663,0.080859751,0.339485387,0.727079542
RN7SKP235,8.500724502,-0.041772637,0.086848642,0.32075237,0.713190549
MTERF3,26.72914346,-0.041429855,0.087282972,0.317792782,0.712092862
EMC2,30.05062963,-0.042452567,0.085234015,0.326692367,0.716489251
HEY1,6.043771638,0.034257393,0.093115854,0.250012611,0.648785418
TRMT10C,24.09502372,0.042878396,0.084569903,0.330381773,0.719946584
HAT1,15.92008085,0.043984301,0.079320967,0.339859908,0.727094814
RPL26L1,31.66934755,-0.041034821,0.088226592,0.314587236,0.709812109
SNRPCP13,4.416931693,-0.025953345,0.093241521,0.160672068,NA
COPE,38.66663869,-0.043980732,0.079999335,0.339953975,0.727168006
KRT10-AS1,8.657086753,-0.036376545,0.092316341,0.271419763,0.670508664
POU2AF1,8.80139053,0.030372219,0.093578459,0.209816743,0.608977398
RUSC1,13.94189724,-0.039861514,0.089710205,0.304387616,0.701282903
HDHD3,29.49845366,0.039685546,0.090071077,0.302865279,0.700279943
UIMC1,23.80349117,-0.044764332,0.075213666,0.346865111,0.732211921
RPUSD3,8.474163771,-0.041730239,0.086567768,0.321448514,0.713221314
PRPSAP1,13.14124599,-0.043635999,0.081714435,0.338142294,0.725695715
SNORD116-17,9.727172835,-0.030688421,0.093488768,0.214110313,0.614375033
MIRLET7BHG,10.0880622,0.037943407,0.091256606,0.287491786,0.686923226
UBE2V1P15,2.756576606,0.029558823,0.093502418,0.202026713,NA
EBLN2,14.0109265,0.044127699,0.081113637,0.34290628,0.729805575
TESPA1,3.668980834,-0.034176097,0.093116192,0.251360114,NA
BEX4,54.89266941,-0.032274011,0.093224964,0.231899999,0.632001316
PSMC4,76.89407964,0.043302299,0.083069487,0.33665253,0.724406672
LRRC8A,32.53702869,0.04200412,0.086140887,0.325560507,0.715956498
RPL26P35,6.12594526,-0.037776061,0.091561555,0.287163436,0.686793118
RNF180,9.504432726,-0.03203318,0.093337533,0.230889526,0.631089894
UQCC1,21.97674094,-0.043995826,0.078994124,0.344224117,0.73022189
LINC02352,3.287206156,0.034307327,0.092842022,0.254796517,NA
TAF1B,18.87352402,-0.044359492,0.07659422,0.34748409,0.732263523
DUSP23,109.6230528,0.037026081,0.092051023,0.281968917,0.680661538
ARHGEF2-AS2,2.876876364,-0.033746823,0.093273212,0.249602537,NA
LMAN2L,26.30809434,-0.044088007,0.078300542,0.345871281,0.731836171
SNORD62A,9.453004263,-0.029766974,0.093452972,0.207644561,0.606346
HOXB2,5.466163661,0.022032475,0.089955966,0.119595716,0.49355862
CLPB,9.106830056,-0.041292597,0.087302294,0.322092178,0.713758063
ENTPD6,30.52485319,-0.042570544,0.083493334,0.333298551,0.721919032
CNOT6L,29.41302537,0.044170884,0.07594612,0.346861842,0.732211921
PARM1,102.9352073,-0.03193863,0.093291943,0.23127362,0.631386404
TMEM38A,5.470842901,0.033557713,0.093122042,0.248241255,0.647045213
UBE3C,44.82435811,0.044404025,0.070364141,0.348905787,0.732833607
DCTN1,33.1115452,-0.044463162,0.074435082,0.349743281,0.733173245
KIZ,11.91049052,-0.039523523,0.089575762,0.306712758,0.703288023
ZNF29P,4.5909942,-0.033673403,0.093091592,0.249882024,NA
RAD23B,96.05132942,0.044459476,0.075480363,0.349853406,0.733173245
RNA5SP395,5.574335037,0.03749318,0.091350603,0.287905695,0.687146522
WWTR1,25.38537046,0.041954558,0.085857609,0.328701067,0.718411187
RNF14P3,3.370607984,-0.035296284,0.092703496,0.266608958,NA
FXNP2,2.952280914,-0.034052232,0.093102266,0.254105669,NA
CRMP1,6.70507751,-0.032608578,0.09328787,0.23917352,0.639585701
RETREG1,7.558295769,0.033219648,0.093210103,0.245639639,0.645370032
ING4,25.14347871,-0.043699986,0.079587599,0.344029094,0.73022189
RTF2,38.28721068,-0.044088041,0.074615801,0.347495875,0.732263523
DDX18P5,4.481704107,-0.037497331,0.091619159,0.28860444,NA
MAPK8,16.23117955,0.043615395,0.079219302,0.343715675,0.73019862
NAXD,42.27777311,0.041599312,0.086612694,0.326541125,0.716320777
RPH3AL,8.606868216,0.035173335,0.092609031,0.26616166,0.665514996
TLE5,46.27425426,-0.043570516,0.079424127,0.343706682,0.73019862
CEP128,9.681886287,0.036735355,0.091825176,0.281790907,0.680450694
TPR,82.31031838,0.044343426,0.070281952,0.350193907,0.733302855
LAMTOR4,53.28468712,-0.044284075,0.072454052,0.349753711,0.733173245
CARD8-AS1,5.290011721,0.03712181,0.0916359,0.285607559,0.684928815
JTBP1,4.931891234,-0.035520588,0.092472669,0.269921914,0.668876831
RASEF,41.39853355,0.035989463,0.092369203,0.274585121,0.673561476
TAF11,30.39690045,-0.043856314,0.071578815,0.346269186,0.731836171
SAMD5,4.565325622,0.031674524,0.093396104,0.230345955,NA
SLFNL1,2.053719379,-0.031261715,0.093468858,0.226012613,NA
LOC728392,2.852797106,-0.032957341,0.093281234,0.244033737,NA
AKR1B1,46.93686379,-0.0314562,0.09333409,0.228179027,0.628203815
GARS1,20.18854874,0.041607448,0.086389193,0.327232803,0.716920241
NHERF1,30.19028197,0.037869437,0.091258065,0.29336103,0.692335022
LENG8,54.49514595,-0.041237988,0.086653216,0.324316451,0.71503965
RNPS1,25.01903068,-0.044370317,0.073349546,0.351167912,0.73402456
NFKBIB,17.34832477,0.041846679,0.085552286,0.329707262,0.719317733
RPS24,174.9684001,0.041421813,0.086409388,0.326074575,0.715971236
HBP1,43.43409333,0.043895302,0.064175648,0.347367622,0.732263523
RNA5SP92,7.453770136,0.034013472,0.092951225,0.25550482,0.653900657
RIF1,32.74483392,0.044322856,0.068053572,0.351151493,0.73402456
MOCS3,6.743076683,-0.03898934,0.0901603,0.304482369,0.701296375
KIF21A,16.4759385,0.039296636,0.089762058,0.307537599,0.703787066
CALR,649.6663945,-0.040339465,0.079231202,0.317176012,0.711687532
CD6,5.165833783,-0.034719396,0.092655803,0.2633871,0.661969768
TBC1D22B,18.96916074,-0.043446402,0.079008949,0.344591991,0.730457705
RPL37A-DT,1.817134785,-0.030234935,0.093478044,0.216360864,NA
COQ4,20.32180348,-0.04376465,0.077749335,0.347309057,0.732263523
SCAF4,17.49193077,-0.043805809,0.078166732,0.347771335,0.732523334
ZNF33A,38.89924634,0.042376891,0.074675204,0.335762982,0.723797553
MRPL49,41.4012538,-0.041543405,0.085037008,0.328513432,0.718383832
UPF2,33.49643675,0.044134476,0.074995911,0.350738638,0.733746106
DHRS4L2,7.987374119,-0.040570822,0.08808043,0.320038879,0.71300251
SNORD105B,9.437130835,-0.033073076,0.093012063,0.247284808,0.64675814
OGFOD1,14.21566623,-0.043188481,0.081469001,0.343023207,0.729805575
RPL29P12,6.453301629,-0.038414067,0.090620583,0.300352267,0.697661331
LSM4,43.24903854,-0.043947706,0.075921684,0.349508995,0.733118202
HFE,11.68792283,0.04216975,0.084524127,0.334379808,0.722681186
QRSL1,11.58398926,0.042964836,0.082393751,0.341247999,0.729129176
SLC22A31,71.86501553,-0.027896796,0.093325845,0.19108287,0.588801858
LINC02009,3.854857033,0.026936145,0.093284731,0.180149772,NA
UHMK1,90.4075252,0.043110579,0.082128401,0.342716093,0.72975672
PPARG,14.04825441,0.033283529,0.09310629,0.249827451,0.648785418
PDLIM1,91.34680546,0.04064069,0.088095415,0.321149061,0.713190549
SFTA1P,20.22399404,-0.025351725,0.0930539,0.161941285,0.550358043
ZNF337-AS1,4.359732956,-0.036694546,0.091892187,0.284698001,NA
MATN1-AS1,1.743454372,-0.03001156,0.093491148,0.215224174,NA
EML1,6.473675582,0.038179201,0.090521648,0.299245698,0.696600176
TRGV1,3.338731047,-0.032277243,0.093261251,0.240007189,NA
SMDT1,20.88169205,0.04304735,0.081262007,0.343190752,0.729851684
RPL8,893.5926834,-0.04070835,0.089849942,0.322816123,0.71383623
WDR55,13.46808326,-0.042940856,0.082019796,0.342431631,0.729733048
LINC01285,3.571224905,-0.025402881,0.093049795,0.16347778,NA
ARMCX6,14.60961742,-0.040894939,0.087207198,0.324664049,0.715490732
C6orf89,51.12846554,-0.043781522,0.069910276,0.349885811,0.733173245
TDG,20.93009478,0.0422662,0.084137007,0.337035802,0.724651179
TRIB3,19.66357134,-0.032901527,0.092981971,0.247328779,0.646760449
MRAP-AS1,2.860714758,0.033012734,0.092986811,0.248560723,NA
XRCC4,14.36072003,0.037078888,0.091391472,0.28968813,0.688699559
ZNF33BP1,4.710542762,-0.033924089,0.092841935,0.258318061,0.65807096
GPR171,16.66828981,-0.024950675,0.092993442,0.158768014,0.547272797
ETDC,14.29901763,0.036368805,0.091801273,0.283023613,0.681778161
FOXS1,1.966867505,0.030192202,0.093322135,0.218706055,NA
DCAF8-DT,3.737247549,-0.033309738,0.092998372,0.252278666,NA
TNIP2,32.26168348,0.043368034,0.079369624,0.347444753,0.732263523
JHY,3.194306796,0.034183907,0.092604466,0.261716571,NA
TTLL7,3.288606847,0.032067543,0.093215497,0.239577001,NA
LOC100420298,6.613368081,0.039877285,0.088928916,0.316943858,0.711604575
APH1B,11.34371159,0.041407956,0.085862717,0.330768106,0.719980727
RAD9A,8.541203346,-0.040467524,0.087830537,0.322397613,0.713765121
HMGA1P4,9.889650651,-0.036134454,0.091798505,0.281551996,0.68009544
GRB7,21.83368635,-0.040068679,0.088092903,0.318893449,0.712621051
SLC12A4,17.77098488,-0.041519355,0.085454452,0.331915582,0.72080826
SLC35A4,26.79967452,-0.043654129,0.077883427,0.350331385,0.733302855
TIMD4,2.626670715,-0.025951735,0.093123008,0.171316265,NA
NBPF11,12.07619414,-0.041787871,0.084819996,0.334335998,0.722681186
SLC9A9,12.95387567,0.040901731,0.086719457,0.326536865,0.716320777
MAMLD1,2.392486796,-0.028816345,0.093350414,0.204259783,NA
RTN1,4.654995826,-0.034990256,0.092454,0.270361082,0.669094801
UNC50,48.89844989,0.043728465,0.065235608,0.351166252,0.73402456
CD1D,2.69343338,0.030140578,0.092187857,0.219367808,NA
CDK5RAP3,8.083595538,-0.040752907,0.087240743,0.325641464,0.715956498
HEG1,27.56170309,0.039858615,0.088731076,0.317557376,0.712092862
TXN,255.9382711,0.038799963,0.090210329,0.308121075,0.704263337
ALDH1L2,8.565570159,0.036439222,0.09163349,0.285602823,0.684928815
FMOD,50.69141338,-0.007436286,0.081254594,0.002163013,0.078612178
EBF4,6.520706809,-0.032431512,0.093015405,0.244992935,0.645109627
SNORD12B,3.722648843,0.031520722,0.093206261,0.235460213,NA
MTBP,5.077979644,-0.036727036,0.091623259,0.289063586,0.688377665
RPL7P46,5.10934022,-0.037795729,0.09087748,0.299401449,0.696854668
PTPN1,66.8742864,-0.036915333,0.091123919,0.291282621,0.689993172
RNA5SP233,3.202523336,-0.031970012,0.093239725,0.240695704,NA
METTL13,30.85302948,-0.044015736,0.073004551,0.355444367,0.737781808
MCTP2,27.68546025,-0.037640925,0.090650492,0.298331395,0.69605651
RPL12P44,4.973519376,0.036710675,0.091148667,0.289410143,0.688590022
CMPK1P2,8.399474879,-0.03531386,0.0921495,0.275620219,0.674279665
GPX1,411.4922649,-0.040895638,0.086369059,0.328710506,0.718411187
PSME1,175.959867,-0.041562647,0.085110417,0.334656248,0.722681186
SNORD113-1,21.39262082,-0.021599141,0.09247476,0.121684109,0.495249046
PLPPR1,6.000011824,-0.024320094,0.092902146,0.154039166,0.542371071
RNU6-482P,2.976725417,0.033132783,0.09282576,0.253448812,NA
RPS12P26,25.47253949,0.034464088,0.09231507,0.267257888,0.666283338
PDE4A,6.044009149,-0.038167499,0.090258586,0.303920528,0.701252416
MYNN,11.33905357,0.042604032,0.082428706,0.344211204,0.73022189
TSHZ1,7.806085307,-0.040228994,0.087954161,0.323218808,0.713917278
CACNA1C-IT3,6.251806813,0.037011077,0.091135419,0.293068868,0.69198737
LINC00921,3.244822684,-0.034717773,0.092630796,0.270362232,NA
TRGJ2,2.374601715,0.023883434,0.092848131,0.149371143,NA
ZNF621,14.94136761,-0.043335115,0.078626877,0.350839161,0.733746106
RNU6-1267P,3.287441242,0.032603936,0.092932823,0.248569997,NA
ZNF876P,4.3023806,-0.034466476,0.092567718,0.268092495,NA
NDOR1,10.32691391,-0.04014725,0.087805102,0.323000588,0.71383623
GAPDHP60,4.966642122,-0.037577135,0.090966512,0.299014634,0.696458211
ABCA8,7.443582171,0.032622491,0.093052512,0.248958972,0.647863068
AMOTL1,21.67467248,0.040290381,0.087785153,0.324627103,0.715490732
SUPT16H,63.69002755,-0.043022917,0.080182829,0.348806884,0.732833607
UBOX5,5.139493848,-0.037885995,0.090637465,0.302417294,0.699966628
MINDY3,24.59434512,-0.04345333,0.078336999,0.352678643,0.735553613
KANSL2,26.79038269,-0.04397931,0.072763899,0.357129952,0.738805111
SDHDP2,5.719563511,-0.038090012,0.09009865,0.304574713,0.70130074
PI4KAP1,3.087356956,0.030511423,0.093155733,0.226712047,NA
RNU7-23P,3.434739243,-0.024108338,0.09287515,0.152885927,NA
RBBP6,23.22747446,-0.044037723,0.070901936,0.357854172,0.739657274
KRBA1,4.301581898,-0.036333163,0.091758343,0.287980376,NA
PSMA3-AS1,30.69617586,-0.043659285,0.075404204,0.354914775,0.737440584
RIMKLBP1,3.680929763,-0.035382749,0.092191398,0.278629667,NA
RPS24P16,5.683890479,0.037187505,0.090885361,0.296541448,0.694289054
LINC01011,2.262711415,-0.031630088,0.09320357,0.239643123,NA
HSD11B1,14.83450564,0.034437316,0.092345945,0.269389561,0.668795452
IPP,15.30086704,0.042651916,0.081201318,0.346991049,0.732211921
NOP53,56.33911241,0.040681031,0.08705648,0.329646383,0.719317733
SGSM1,3.576217242,-0.031190458,0.093194429,0.235225705,NA
NPM1P29,7.854294669,0.040242804,0.086394511,0.325845313,0.715956498
CHMP4C,19.69777658,0.038929962,0.08933251,0.313807324,0.709386074
ENPP4,40.25958363,-0.038919749,0.089175001,0.313754701,0.709386074
CFAP126,38.75981763,-0.039842397,0.08786569,0.322434058,0.713765121
TBC1D3L,3.177185261,-0.033571298,0.092909515,0.261150376,NA
RPS27AP10,22.93105867,0.042424794,0.081879015,0.345800159,0.731836171
GNAT2,4.084286891,0.035760992,0.091694679,0.283894585,NA
NDUFA9P1,10.0962336,0.040993681,0.085796539,0.333459024,0.721919032
RPE,47.1406593,0.043228442,0.06476495,0.353041185,0.735721658
HGH1,18.51160945,-0.038671851,0.089639301,0.312295864,0.708508426
ADAM9,53.00995887,0.039413384,0.088815756,0.319212813,0.712822031
PIEZO2,6.219876765,0.035161916,0.09206002,0.278356443,0.67698487
RHBDD1,17.16379685,0.043307973,0.075758432,0.354113039,0.737101196
RPL23AP35,4.552775417,0.036811682,0.09120503,0.294876057,NA
RN7SL846P,3.419220348,-0.034455003,0.092476,0.271559253,NA
RN7SKP35,4.949325176,-0.035229884,0.092112742,0.279697199,0.678231818
BBIP1P1,7.410555756,0.035168461,0.092058422,0.279171814,0.67761464
POLB,19.09474694,-0.038635121,0.089266474,0.313124113,0.709111789
EPB41,19.00324015,-0.042736743,0.080687798,0.350417848,0.733375891
LOC100131289,3.304779201,-0.024428407,0.092870538,0.15979575,NA
MRPS34,87.7634511,-0.042905246,0.078261677,0.352014408,0.735179666
VTCN1,6.614882264,0.024581701,0.092942437,0.16164585,0.549905495
MSRB3,12.76496779,0.03882868,0.089181429,0.315564949,0.710672151
RNU6-1226P,5.045621613,0.031782751,0.093028366,0.244555878,0.645109627
SSBP2,8.673920437,-0.036651406,0.091110811,0.294965362,0.69275668
GPRASP2,8.692177204,-0.039355092,0.088382418,0.320814873,0.713190549
CRIPTOP6,5.011103056,-0.036998818,0.091056336,0.29876264,0.696339631
RNU6-597P,3.016154377,-0.031574818,0.093096379,0.242780506,NA
PMPCA,16.20755941,0.042234787,0.082330016,0.347197794,0.732263523
SEC63,27.44420825,0.043308386,0.071637733,0.35660696,0.738805111
ATP2A3,20.60450113,0.031936492,0.093020602,0.24716349,0.64675814
TMEM231,4.065750958,0.034395851,0.092305284,0.273207706,NA
VN1R1,1.887801174,-0.030052081,0.093230906,0.226710471,NA
