Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LPGAT1,50.13545898,0.607519584,0.171654093,2.30E-05,0.005295716
OASL,7.842341359,0.833352648,0.321742378,0.000428622,0.031398372
PROM1,14.48310905,1.103880642,0.596654194,0.003012935,0.095813893
PHF5AP5,21.7520661,-0.807092434,0.334554208,0.000374113,0.028995096
PPIAP29,9.900774864,-1.076639354,0.3086782,0.002699458,0.089784306
LINC02605,7.470867859,0.677823097,0.222197571,9.46E-05,0.012485612
RNU6-724P,22.12858676,-0.781666235,0.315408749,0.00032678,0.026513337
IGLV5-37,7.345433273,1.187443677,0.775318209,0.00516595,0.121919663
CA12,17.25039763,1.047882468,0.550664763,0.002637669,0.089371147
MLKL,13.92403011,0.611013238,0.180119725,3.93E-05,0.006708958
PPP2R3A,21.45837037,-0.679860099,0.23135107,0.000113196,0.01427789
PTGES,22.39901878,0.78802496,0.296296589,0.000395503,0.029682525
ALDH1A3,8.499554635,0.770501029,0.28678634,0.000342715,0.027074516
RNU6-1003P,6.884244815,0.757564291,0.284040492,0.000312297,0.025615154
C12orf75,12.03745163,0.864002742,0.37114035,0.000922716,0.048426461
IGLV1-40,606.0480287,0.864121521,0.36695032,0.000951382,0.049503374
FURIN,92.96141679,0.759507087,0.282963774,0.000383429,0.029214574
BMAL2,13.92633941,0.834823152,0.352677385,0.000830233,0.045647593
LOC128125822,4.191181429,0.701100764,0.258081904,0.000234632,NA
MIR2909,17.10565647,-0.638494634,0.212535299,0.000104671,0.013428258
MIPEP,15.31950002,0.560978246,0.16357694,2.95E-05,0.005983999
TMEM150A,20.06894881,-0.598416226,0.187499571,5.80E-05,0.00878712
SFRP1,2.636498518,0.907269784,0.463652647,0.001639925,NA
PLAC8,15.64591358,0.914480734,0.442030531,0.001744231,0.07050963
IGKV2OR22-4,4.722423981,0.897915217,0.447658454,0.001643706,0.068324481
TIMM9P1,14.96243731,-0.70413688,0.271101274,0.000291083,0.02518843
SALL2,7.783368911,-0.80202631,0.364499046,0.000790089,0.044416624
DNAJB4,15.57315614,0.59276786,0.184794288,6.54E-05,0.009628063
EOGT,20.34183724,0.488374594,0.129415807,8.47E-06,0.002956583
RN7SKP240,4.634343311,0.742689519,0.294312751,0.000464022,0.033325205
FNDC3B,74.8102153,0.480445009,0.124387576,7.13E-06,0.002720674
EHBP1,15.33809577,0.479131383,0.125592627,6.90E-06,0.002720674
ZNF512B,24.57128542,-0.645316453,0.227828883,0.000152633,0.017356261
GLS,98.76462783,-0.730115696,0.314067039,0.000428825,0.031398372
OCLN,42.73766287,-0.694852059,0.274940094,0.000292454,0.02518843
RAB5CP1,23.82728291,-0.615019299,0.209680859,0.000116768,0.014605688
SNX21,19.97499939,-0.684419201,0.267473491,0.000305352,0.02518843
CDKN2A,8.027943247,0.958423144,0.537444595,0.003090101,0.096786913
ARL4AP1,13.50104736,-0.737393994,0.3183857,0.000551917,0.037149222
LRRC37A16P,18.65704397,-0.611819753,0.208747704,0.00013097,0.015982657
ZC3H12A,34.72346082,0.629689173,0.214453651,0.000169872,0.018611557
PLK2,38.30002303,0.645617389,0.226035856,0.000222551,0.021413441
MDH1B,2.459101722,0.793708039,0.373407042,0.001116065,NA
TMPRSS3,6.299749285,0.942945758,0.553682062,0.003337637,0.098690895
LOC105374971,4.425391265,0.787107417,0.360150794,0.001092492,NA
TLR6,8.436992075,0.578252388,0.188536223,9.35E-05,0.012485612
MXD1,19.04845482,0.676980411,0.253841419,0.00036335,0.028554385
RN7SL141P,41.55308074,0.491874549,0.137505971,2.04E-05,0.004773448
GJB3,5.351489862,0.981069372,0.649484005,0.004570649,0.113585163
CACNB1,7.691858057,-0.742711979,0.334569466,0.000820597,0.045283691
FGG,84.141318,1.48878938,0.765459923,0.028970977,0.271552497
TNFAIP6,11.09906266,0.690101239,0.272253709,0.000493376,0.034931985
RNU1-146P,5.975695173,0.99935583,0.707666154,0.005384195,0.12510335
HIP1,36.51493266,-0.577049877,0.196483361,0.00011823,0.014666331
LINC00674,49.88686793,-0.578324585,0.19863274,0.00012214,0.01502727
BCAS1,16.90864894,0.992498614,0.692759264,0.00559221,0.127126836
IGLV3-9,91.28619538,0.949334755,0.594713794,0.004448385,0.111469543
TDP2,36.2384116,0.45337928,0.121957909,1.24E-05,0.003719519
NAPG,29.49953367,0.458611879,0.125327756,1.42E-05,0.00381421
RNU6-1135P,3.937400649,0.888462038,0.539194944,0.003229746,NA
LOC100128939,6.928396779,0.894481102,0.52881557,0.003415885,0.099066713
SLC18B1,20.14184668,0.492976757,0.144357623,3.39E-05,0.006273221
MAP2K6,4.737269089,0.718074986,0.31636489,0.000871811,0.046800143
BASP1,38.42521439,0.676322282,0.267769548,0.000567783,0.037709843
IGLV1-51,4.827431404,1.748371062,0.344429866,0.055677924,0.353306665
PTPRM,31.38627973,0.589440287,0.203339969,0.000192304,0.019906764
SCCPDH,73.70317662,0.530555939,0.165201901,7.60E-05,0.010857624
S1PR3,3.535899885,0.627571648,0.245768088,0.000335208,NA
ZNF737,13.84940426,-0.698870453,0.322615566,0.000760874,0.043614879
STK39,57.60959464,-0.597813353,0.224466718,0.000230805,0.022066159
RARB,8.924959539,0.563285023,0.191758729,0.000141131,0.016812527
ZNF714,9.701050778,-0.674752352,0.287846181,0.000616749,0.039376022
FDCSP,7.503562955,0.878957867,0.525293317,0.003485851,0.099066713
NRARP,3.212310326,0.666682503,0.285469168,0.000587666,NA
SMARCA4,24.58148876,-0.523750003,0.167859474,7.96E-05,0.011165258
FSIP2,3.402081456,0.755522066,0.387599356,0.001618188,NA
COL4A5,11.08390598,0.734689122,0.342932578,0.001382578,0.062886357
OPN3,4.76406066,0.657012365,0.279762862,0.000635901,0.039901558
NAB1,27.44187545,0.431129144,0.117129875,1.35E-05,0.003806468
RNASET2,8.525045543,0.542837772,0.186351537,0.00014484,0.016984781
S100A9,801.6677268,0.832453241,0.468475084,0.003151511,0.09713384
SMIM10,5.577144476,0.594740841,0.227236055,0.000329379,0.026580516
HSCB,10.5680294,0.476182213,0.145379302,4.61E-05,0.007446733
ITGA6,48.81134904,0.699420976,0.312871961,0.001175002,0.056307134
MANSC1,9.187204886,0.636542323,0.265026722,0.000671507,0.040806971
KIF13B,29.02226016,0.587482258,0.22035388,0.000376727,0.028998356
SELENOF,127.6628861,0.404904635,0.107405397,1.13E-05,0.003525424
RNA5SP290,6.938126642,0.576604383,0.220744484,0.000336829,0.02689261
HMGB1P23,6.525982675,0.620547545,0.25843437,0.000607209,0.039116781
LOC107985380,4.747804784,-0.660401296,0.284294011,0.00095313,0.049503374
CDKN2B,15.95381782,0.639331631,0.26675047,0.000761299,0.043614879
CSGALNACT1-AS1,6.638234446,0.663296739,0.299755794,0.001012007,0.051667419
RPS27AP8,21.86794003,0.515948033,0.173755204,0.000151337,0.017340195
RFK,19.47080014,0.62511201,0.259466577,0.0007224,0.042557008
CHILL1,2.522523046,0.652130114,0.311540208,0.000988835,NA
CLDN14-AS1,3.31416947,0.683013005,0.339257937,0.001379852,NA
WDR49,10.60041863,0.76770655,0.433493988,0.002939657,0.094890854
RNU4-80P,10.09670441,0.599085587,0.244238244,0.000582223,0.037848405
LGSN,22.47180177,0.894482977,0.723021037,0.006830278,0.139499962
IGHV3-11,270.962462,0.802776545,0.485803537,0.003869589,0.104371739
RNU4ATAC16P,28.14631327,-0.607066196,0.269459427,0.000646596,0.039901558
UNC93B1,49.78970591,0.479907144,0.152768987,9.48E-05,0.012485612
TMEM243,36.24864556,-0.561678507,0.224232646,0.000379096,0.029031777
PKP2,7.113203283,0.741915787,0.415243616,0.002608882,0.088796632
MIR32,17.94637456,-0.673802577,0.377456624,0.001451269,0.064096344
FFAR2,2.593025808,0.755197875,0.478728736,0.00300672,NA
RNU6-786P,10.68724877,0.603967877,0.252963531,0.000712422,0.042434358
VASP,51.87074395,0.465493725,0.146089208,8.31E-05,0.011338627
NDUFV2,17.82122334,0.506981446,0.175814275,0.000190416,0.019848177
ADAM28,27.49931836,0.687757182,0.339402262,0.001811818,0.07175566
BAIAP2L2,3.168868813,0.727169466,0.441541471,0.002693935,NA
ST3GAL4,10.72173542,0.544441842,0.21099481,0.000386814,0.029323604
PLA2R1,7.704454131,0.506995797,0.183035392,0.000218505,0.021413441
GREM1,16.07013683,0.766025985,0.467548028,0.003873089,0.104371739
NAMPT,109.7455482,0.633987378,0.28557988,0.001233269,0.057845172
IGLC6,2.957600964,0.781704613,0.568115476,0.004398951,NA
RNU7-10P,10.63273297,-0.591718602,0.259171547,0.000770697,0.043818794
SLC2A1,43.0368341,0.709562518,0.380265279,0.002551771,0.087647802
RUNX1,36.4991488,-0.451446495,0.145253674,8.89E-05,0.012015982
TAC4,8.714463582,-0.657098411,0.359177326,0.001649278,0.068324481
LOC124901151,5.462239806,-0.669418044,0.362489849,0.001905892,0.073540958
RPS12P12,15.53068383,-0.573409065,0.247265625,0.000670564,0.040806971
LOC100287290,4.138684352,0.57500239,0.251558506,0.000740881,NA
PLAUR,37.66170078,0.628571095,0.292459337,0.00140616,0.063573668
SNORA74B,431.9326707,-0.611757389,0.327871597,0.001189423,0.056497605
TGM2,132.4714663,0.586591897,0.249708567,0.000918083,0.048352397
GPD1L,53.70658166,-0.55352278,0.24164141,0.000604855,0.039116781
GADD45G,27.6712312,-0.62600195,0.348607329,0.001442711,0.064096344
RPSAP6,13.71932918,-0.55497977,0.235276022,0.000642887,0.039901558
